Date,SPY,DIA
2022-05-10,376.677978515625,298.7283020019531
2022-05-11,370.6940002441406,295.6001892089844
2022-05-12,370.3070373535156,294.83917236328125
2022-05-13,379.1602783203125,299.09967041015625
2022-05-16,377.621826171875,299.6101989746094
2022-05-17,385.3896484375,303.6199951171875
2022-05-18,369.8540344238281,292.8992004394531
2022-05-19,367.58880615234375,290.6991882324219
2022-05-20,367.7492370605469,290.685302734375
2022-05-23,374.6297912597656,296.6586608886719
2022-05-24,371.76995849609375,297.17034912109375
2022-05-25,375.0545349121094,298.9288635253906
2022-05-26,382.5487365722656,303.7393493652344
2022-05-27,391.93988037109375,308.9684753417969
2022-05-31,389.74072265625,307.2284240722656
2022-06-01,386.5882873535156,305.516357421875
2022-06-02,393.9502868652344,309.61944580078125
2022-06-03,387.4849548339844,306.4374694824219
2022-06-06,388.6647644042969,306.5305480957031
2022-06-07,392.3929138183594,309.0614013671875
2022-06-08,388.1268005371094,306.46539306640625
2022-06-09,378.8960266113281,300.5291748046875
2022-06-10,367.90966796875,292.49951171875
2022-06-13,353.9408264160156,284.321044921875
2022-06-14,352.8742370605469,283.1302795410156
2022-06-15,357.90496826171875,285.85638427734375
2022-06-16,346.0597229003906,279.0362854003906
2022-06-17,346.80572509765625,278.5811462402344
2022-06-21,355.5361022949219,284.7082824707031
2022-06-22,354.8915100097656,284.07403564453125
2022-06-23,358.370361328125,286.0604248046875
2022-06-24,369.7643737792969,293.78228759765625
2022-06-27,368.3519287109375,293.1668395996094
2022-06-28,360.825439453125,288.4852294921875
2022-06-29,360.5315856933594,289.1473083496094
2022-06-30,357.6025695800781,287.0677490234375
2022-07-01,361.38470458984375,289.8934326171875
2022-07-05,362.0672302246094,288.83026123046875
2022-07-06,363.2901611328125,289.4830627441406
2022-07-07,368.7310485839844,292.78436279296875
2022-07-08,368.4278259277344,292.32745361328125
2022-07-11,364.2191162109375,290.6860656738281
2022-07-12,360.99609375,289.0727233886719
2022-07-13,359.10028076171875,287.0024719238281
